,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
6362,Zombies,Childish Gambino,281813,False,0,spotify:track:73kAUSAht4YOR7xNPmNb2L,0.653,0.411,0,-11.986,1,0.127,0.503,0.000969,0.067,0.468,160.055,https://api.spotify.com/v1/tracks/73kAUSAht4YOR7xNPmNb2L,https://api.spotify.com/v1/audio-analysis/73kAUSAht4YOR7xNPmNb2L
6363,Tough Love,Courage My Love,214306,False,8,spotify:track:4Fp5RGHFfDFT60W9HBRPjf,0.499,0.907,1,-4.922,1,0.0558,0.000636,0.0121,0.0801,0.82,155.936,https://api.spotify.com/v1/tracks/4Fp5RGHFfDFT60W9HBRPjf,https://api.spotify.com/v1/audio-analysis/4Fp5RGHFfDFT60W9HBRPjf
6364,Afire Love,Ed Sheeran,314280,False,57,spotify:track:12B0Twa9kRz45Xw2PgXHJm,0.552,0.637,5,-6.568,1,0.0445,0.464,1.63e-05,0.136,0.333,97.97,https://api.spotify.com/v1/tracks/12B0Twa9kRz45Xw2PgXHJm,https://api.spotify.com/v1/audio-analysis/12B0Twa9kRz45Xw2PgXHJm
6365,Yuh Love,Vybz Kartel,226813,False,0,spotify:track:746KIplyoOQt0AOc4eRsyy,0.632,0.575,8,-9.25,1,0.325,0.235,0.0,0.151,0.733,121.756,https://api.spotify.com/v1/tracks/746KIplyoOQt0AOc4eRsyy,https://api.spotify.com/v1/audio-analysis/746KIplyoOQt0AOc4eRsyy
6366,Love Brought Weight,Old Sea Brigade,185746,False,0,spotify:track:3LNfNUQu3iTfVml3dpdvlk,0.367,0.326,7,-15.605,1,0.0344,0.699,0.358,0.0759,0.064,116.659,https://api.spotify.com/v1/tracks/3LNfNUQu3iTfVml3dpdvlk,https://api.spotify.com/v1/audio-analysis/3LNfNUQu3iTfVml3dpdvlk
6367,Cold Hard Love,Tory Lanez,358253,True,0,spotify:track:08va6Avy5JOZKHj27ElDKt,0.495,0.638,5,-9.25,0,0.123,0.283,0.000355,0.131,0.193,89.94,https://api.spotify.com/v1/tracks/08va6Avy5JOZKHj27ElDKt,https://api.spotify.com/v1/audio-analysis/08va6Avy5JOZKHj27ElDKt
6368,Feel The Love - Sam Feldt Edit,Janieck,170496,False,0,spotify:track:6ESkvrWf0jzOKkLTjIWvyT,0.645,0.835,3,-4.374,0,0.045,0.0487,1.16e-05,0.0947,0.438,121.997,https://api.spotify.com/v1/tracks/6ESkvrWf0jzOKkLTjIWvyT,https://api.spotify.com/v1/audio-analysis/6ESkvrWf0jzOKkLTjIWvyT
6369,What Is Love 2016 - HUGEL & Adam Trigger Remix,Lost Frequencies,157440,False,0,spotify:track:0ffAOyr1e1LPNuybTqjBxK,0.734,0.777,1,-4.272,0,0.0305,0.0268,9.16e-05,0.179,0.547,124.903,https://api.spotify.com/v1/tracks/0ffAOyr1e1LPNuybTqjBxK,https://api.spotify.com/v1/audio-analysis/0ffAOyr1e1LPNuybTqjBxK
6370,What Is Love 2016 - Bryan West Remix,Lost Frequencies,179672,False,0,spotify:track:2kx6B19570ydbxCXHJjAZD,0.645,0.835,1,-5.814,0,0.0335,0.00878,0.0484,0.118,0.216,139.921,https://api.spotify.com/v1/tracks/2kx6B19570ydbxCXHJjAZD,https://api.spotify.com/v1/audio-analysis/2kx6B19570ydbxCXHJjAZD
6371,What Is Love 2016 - Deluxe Mix,Lost Frequencies,169946,False,0,spotify:track:3r0Om1ZdiOfZ17pcNn5nbE,0.828,0.553,9,-8.711,1,0.0492,0.0464,0.0146,0.0293,0.261,124.987,https://api.spotify.com/v1/tracks/3r0Om1ZdiOfZ17pcNn5nbE,https://api.spotify.com/v1/audio-analysis/3r0Om1ZdiOfZ17pcNn5nbE
